event_index,event_type,expected_class,value,note
58,http,benign,http://edx.org/learn/cybersecurity,learning benign
59,http,phishing,http://student-hcmus-portal-check.com/dang-nhap?ReturnUrl=%2Fhocphi,university portal phishing simulation
60,http,benign,http://openai.com/api/,technology benign
61,http,benign,http://apnews.com/world-news,news benign
62,http,benign,http://bbc.com/news/technology,news benign
63,http,benign,http://reuters.com/world/,news benign
64,http,phishing,http://gov-vn-dichvucong-login.com/Account/Login?ReturnUrl=%2F,government phishing simulation
65,http,benign,http://npr.org/sections/technology/,news benign
66,http,benign,http://paypal.com/vn/home,brand benign
67,http,benign,http://accounts.google.com/ServiceLogin,brand login benign
68,tls,phishing,accounts.binanceuz.co,TLS SNI phishing fallback
69,http,benign,http://login.microsoftonline.com/common/oauth2/v2.0/authorize,brand login benign
70,http,benign,http://apple.com/vn/icloud/,brand benign
71,http,benign,http://amazon.com/gp/help/customer/display.html,commerce support benign
72,tls,phishing,login-paypal-security-alert.com,TLS SNI phishing fallback
73,http,benign,http://netflix.com/vn-en/login,brand login benign
74,http,benign,http://linkedin.com/login,brand login benign
75,http,benign,http://facebook.com/login/,brand login benign
76,http,benign,http://youtube.com/feed/subscriptions,media benign
77,tls,phishing,secure-microsoft-verify-login.com,TLS SNI phishing fallback
78,http,benign,http://zalo.me/pc,messaging benign
79,http,benign,http://red.moj.gov.vn/cas/login?service=https%3A%2F%2Fmoj.gov.vn%2FPages%2Fhome.aspx,government CAS login benign
80,http,benign,http://tuyensinh.moet.gov.vn/Account/Login?ReturnUrl=%2F,government ReturnUrl benign
81,tls,phishing,wallet-metamask-support.com,TLS SNI phishing fallback
82,http,benign,http://daotao.hutech.edu.vn/default.aspx?flag=XemDiemThi&page=nhapmasv,university .aspx portal benign
83,http,benign,http://hocvudientu.hutech.edu.vn/dang-nhap?ReturnUrl=%2F,university login benign
84,http,benign,http://sinhvien1.hutech.edu.vn/elearning/hoc-vu/lich-thi,university portal benign
85,dns,phishing,paypal-login-session-check.com,DNS phishing fallback
86,http,benign,http://online.acb.com.vn/acbib/Request?dse_sessionId=student-demo,banking Request benign
87,http,benign,http://vietcombank.com.vn/dang-nhap-dich-vu-vcb-digibank,banking login info benign
88,http,benign,http://webdaotao.hutech.edu.vn/daotao/default.aspx?page=nhapmasv,university .aspx benign
89,http,benign,http://mail.moet.gov.vn/,government mail benign
90,dns,phishing,bank-account-update-required.com,DNS phishing fallback
91,http,benign,http://moet.gov.vn/page/login,government login benign
92,tls,benign,mail.chinhphu.vn,TLS SNI benign domain fallback
93,tls,benign,ctd.ueh.edu.vn,TLS SNI benign domain fallback
94,dns,phishing,office365-password-expired.com,DNS phishing fallback
95,tls,benign,portal.hcmus.edu.vn,TLS SNI benign domain fallback
96,tls,benign,vcbdigibank.vietcombank.com.vn,TLS SNI benign domain fallback
97,dns,benign,en.uit.edu.vn,DNS benign domain fallback
98,dns,phishing,crypto-wallet-connect-verify.com,DNS phishing fallback
99,dns,benign,letienchau.chinhphu.vn,DNS benign domain fallback
100,dns,benign,nguyenvanthang.chinhphu.vn,DNS benign domain fallback
